image,date,source,post_text,district,language,domain,notes,platform,source_name,signal_strength,predicted_domain,pred_score
1,"May 14, 2022",DY365,#Rainfall #HeavyRain #Rain #RegionalMetCentre #Assam #DY365 - গুৱাহাটী আঞ্চলিক বতৰ বিজ্ঞান কেন্দ্ৰৰ আগজাননী - গুৱাহাটীত প্ৰচুৰ বৰষুণ অব্যাহত থাকিব - বতৰ বিজ্ঞানী Sanjay O' Neill Shaw ৰ মন্তব্য,Kamrup Metro,Assamese,Weather,Regional Met Centre Guwahati weather forecast — heavy rain alert,,,,Weather,3
3,"July 8, 2025",DDNews Assamese,ডায়েৰীয়া ৰোগ হ'ব পাৰে নোক ভয়ারহ? ডায়েৰীয়া ৰোগৰ কাৰণ সমূহ কি কি আৰু ইয়াৰ পৰা কিদৰে পাব উপশম? #diarrhea #Healthcare #health #ddnewsassam #ddnewsassamese — দূষিত পানীৰ বাবে হ'ব পাৰে ডায়েৰীয়া,Assam (General),Assamese,Health,DD News Assamese — diarrhea caused by contaminated water — health awareness,,,,Health,2
4,"7 hours ago (approx Aug 18, 2026)",IndiaToday NE,#Assam: Farmers in several areas of Assam's #Kaliabor are facing severe distress after heavy #rainfall and prolonged waterlogging damaged winter paddy crops across hundreds of hectares of agricultural land.,Nagaon,English,Agriculture,Kaliabor is in Nagaon district — waterlogging damaged winter paddy — agriculture + flood,,,,Elephant,3
5,"October 27, 2024",News18 Assam & NE,"হাতা মানুহৰ সংঘাত নহয়, এইবাৰ গজৰাজৰ যুঁজ। নুমলীগড়ৰ গুটিবাৰী চাহ বাগিচাত দুটা বন্যহস্তীৰ তয়ামাম ৰণ। কেমেৰাত বন্দী হ'ল বন্যহস্তীৰ তয়ামাম ৰণৰ দৃশ্য।",Golaghat,Assamese,Elephant,Numaligarh is in Golaghat district — two wild elephants fighting in tea garden,,,,Agriculture,1
6,"1 week ago (approx Aug 11, 2026)",TIME8,"বানৰ পিছত উজনিত ভয়ংকৰ ৰোগৰ প্ৰাদুৰ্ভাৰ। চৰ্মৰোগ, ডায়েৰীয়া, জ্বৰ আৰু কাহত আক্ৰান্ত হৈ শিশু, পুৰুষ-মহিলাৰ হাহাকাৰ পৰিস্থিতি।",Assam (General),Assamese,Health,"Post-flood disease outbreak in upper Assam — skin disease, diarrhea, fever, cough affecting children and adults — STRONG health signal",,,,Flood,3
7,"May 23, 2024",News Daily 24,"ৰাজ্যত কলেৰা, ডায়েৰীয়া, যক্ষ্মা, HIV ৰ ভয়ংকৰ প্ৰাদুৰ্ভাৱ। চৰকাৰী হাস্পতালত নাই বেছিভাগ ৰোগৰ ঔষধ। দুই এজন চিকিৎসকে চলিছে বাগিচাৰ হাস্পতালসমূহ।",Assam (General),Assamese,Health,"Serious disease outbreak — cholera, diarrhea, TB, HIV — medicine shortage in government hospitals — CRITICAL health signal",,,,Health,2
8,"September 26, 2022",DY365,ৰংজুল অব্যাহত আছে হাতা-মানুহৰ সংঘাত। খাদ্যৰ সন্ধানত নিশা দুটা বন্যহস্তীয়ে সাৰাপাৰা গাঁৱত প্ৰৱেশ কৰে। কেবাটাও পৰিয়ালৰ ঘৰ-দুৱাৰ ভাঙি লৈ-ভৈ কৰে বন্যহস্তীয়ে। ঘৰ ভাঙি ধান-চাউল খাই তহিলং কৰাৰ লগতে।,Goalpara,Assamese,Elephant,"Rongjuli (Goalpara district) — two wild elephants enter village searching for food at night — destroy houses, eat rice — STRONG elephant signal for Goalpara",,,,Agriculture,1
9,"July 7, 2022",News18 Assam & NE,"মহানগৰীত হাটী-মানুহৰ সংঘাত, হাটীৰ আক্ৰমণত নিহত এজন লোক",Kamrup Metro,Assamese,Elephant,Guwahati city — human-elephant conflict — one person killed in elephant attack,,,,General,0
10,"4 days ago (approx Aug 14, 2026)",Republic NE,বাক্সাত প্ৰাতঃদেনহেই অব্যাহত আছে হাতী-মানুহৰ সংঘাত। বাক্সা জিলাৰ খেৰণীত বনৰীয়া হাতীৰ সন্ত্ৰাস। পুৰিত নিশাৰ ভাগত অহা দুটা বনৰীয়া হাতীয়ে তাণ্ডব চলাই খেৰণী অঞ্চলত।,Baksa,Assamese,Elephant,Baksa district — Kheroni area — two wild elephants terrorizing at night — STRONG current elephant signal,,,,Elephant,9
11,"February 2, 2022",News18 Assam & NE,"ধাৰাসাৰ বৰষুণ-শিলাবৃষ্টিৰ কবলত ৰাজ্য, সতৰ্কতা জাৰি কৰিলে বতৰবিজ্ঞান কেন্দ্ৰই, এইকেইখন জিলাত হ'ব প্ৰবল বৰষুণ? #Heavyrain #Heavyraininassam",Assam (General),Assamese,Weather,Heavy rain and hailstorm warning for Assam — meteorological centre issues alert,,,,Weather,3
12,"October 1, 2023",Pratidin Time,গোৱালপাৰাত হাতা-মানুহৰ সংঘাত। কেতেকীবাৰীৰ খেতিপথাৰ তহিলং বন্যহস্তীৰ। চাওক আমাৰ এক প্ৰতিবেদন। #PratidinTime #assam #assignment,Goalpara,Assamese,Elephant,Goalpara — Ketekibari area — wild elephants destroy agricultural fields — human-elephant conflict — KEY Goalpara signal,,,,Agriculture,1
13,"4 weeks ago (approx Jul 21, 2026)",News Live,হাতা-মানুহৰ সংঘাত দূৰ কৰাৰ চেষ্টা। বনমন্ত্ৰীৰ সৈতে বিধায়কৰ বৈঠক। সংঘাত নিৰামযৰ বাবে কৰা হ'ব বনানীকৰণ। হাতীৰ আক্ৰমণত মৃত্যু হ'লে পূৰ্বে পৰিয়ালক দিয়া হৈছিল ৪ লাখকৈ টকা। এতিয়াৰে পৰা মুখ্যমন্ত্ৰীৰ নিৰ্দেশত প্ৰদান কৰা।,Assam (General),Assamese,Elephant,Government response to human-elephant conflict — Forest Minister meeting — compensation for elephant attack deaths increased,,,,Elephant,6
14,"October 5, 2024",DTime,নাখল ভাৰত কৃষক সভা বৰক্ষেত্ৰা আঞ্চালক কমিটিৰ উদ্যোগত বিক্ষোভ প্ৰদৰ্শন। খৰাং বতৰত পুৰি যোৱা ধান খেতিকে ধৰি বিভিন্ন শস্যৰ ক্ষতি পূৰণৰ লগতে স্মাৰ্ট মিটাৰ বন্ধ কৰাৰ দাবীত প্ৰতিবাদী কাৰ্যসূচী ৰূপায়ন কৰে।,Assam (General),Assamese,Agriculture,Farmers protest — crop damage due to drought — paddy and other crops burned in dry weather — demand compensation,,,,Agriculture,7
15,"December 26, 2025",DY365,টীয়কৰ চিনাতলীত কৃষক বিপ্লৱ। বানপানী ৰোধৰ বাবে কেন্দ্ৰীয় চৰকাৰে লোৱা ৰেট লেঙু আঁচনিৰ বিৰুদ্ধে উতাল প্ৰতিবাদ নৈপৰীয়া ৰাইজৰ। বিভিন্ন শ্লোগানেৰে উতাল হৈ পৰিল পথাৰ।,Sivasagar,Assamese,Flood,Tiyok (Sivasagar district) — farmers protest against government flood control policy — riverbank people agitation,,,,Flood,7
16,"2 weeks ago (approx Aug 4, 2026)",24 Live,"বানবিধ্বস্ত নাজিৰাত জ্বৰ, ডায়েৰীয়াৰ ভয়ংকৰ প্ৰাদুৰ্ভাৰ",Sivasagar,Assamese,Health,Nazira (Sivasagar district) — post-flood fever and diarrhea outbreak — STRONG health + flood signal,,,,Flood,3
17,June 29 (2026),INEA LIVE,হাতা মানুহৰ সংঘাত আপুনি বড়া গান শুনিছেন নাই? : হাগ্ৰামা মহিলাৰী #HagramaMohilary #AssamNews #NewsUpdate #inealive #Assam #TodayNews,Kokrajhar,Assamese,Elephant,Hagrama Mohilary (BTC chief) commenting on human-elephant conflict — Kokrajhar/BTC area,,,,General,0
18,August 10 (year approx 2024),News Live Assam,আজি 23 দিন হল উজনি অসমত বানপানী হোৱা। 95 জন মানুহ মৰিল প্ৰধানমন্ত্ৰী আহিবলৈ সময় নাই। আৰু কিমান জন মানুহ মৰিলে প্ৰধানমন্ত্ৰী আহিব পাৰে সঠিক সংখ্যা টো আমি অসমীয়াই নাজানো।,Assam (General),Assamese,Flood,23 days of flooding in upper Assam — 95 people dead — political commentary on PM not visiting — STRONG flood signal,,,,Flood,7
19,"2 weeks ago (approx Aug 4, 2026)",News18 Assam & NE,Heavy Rain in Guwahati | গুৱাহাটাৰ বাভৰ অঞ্চলত আৰম্ভ ধাৰাসাৰ বৰষুণ। ইতিমধ্যই পানীৰে উপচি পৰিছে বহু পথ-উপপথ। কিছুসময়ৰ ভিতৰতে পুনৰ কৃত্ৰিম বানৰ আশংকা।,Kamrup Metro,Assamese/English,Flood,Heavy rain in Guwahati Babur area — roads flooded — artificial flood warning — CURRENT signal,,,,Flood,6
20,Recent (no exact date visible),News16 Northeast,চকুৰ সন্মুখতে ছিগিল মথাউৰি। এইবাৰৰ মধ্য অসমত বানপানী হোৱাৰ সম্ভাৱনা। সকলো সাবধান হওক লগতে ভিডিঅ' টো শ্বেয়াৰ কৰক।,Assam (General),Assamese,Flood,Embankment breach visible — flood warning for middle Assam — urgent public safety alert,,,,Flood,7
B1,"3 weeks ago (approx Jul 28, 2026)",DY365,এহাঁখান সময় মানুহে মানুহৰ বাবে চিন্তা কৰাৰ সময়। সৰ্বস্বান্ত মানুহিখিনৰ পুনৰ সংস্থাপনৰ বিষয়টো গুৰুত্বপূৰ্ণ। চাৰিলেনযুক্ত পথৰ বাবে পানীথিন শিৰসাগৰৰ চহৰৰ পৰা ওলাই যাব পৰা নাই। ৫টা দিনে শিৰসাগৰৰ মাজ-মজিয়াত বানপানী। কিছু-কিছু স্থানত পানী কমিছে যদিও,Sivasagar,Assamese,Flood,Sivasagar city flooded for 5 consecutive days — waterlogged 4-lane road — people cannot leave — rehab needed,,,,Flood,7
B2,April 22 (2026),DY365,"বৰষুণ, বানপানী গ'ল... তাৰ পিছৰ অৱস্থা চাওক। মহানগৰীৰ ঠায়ে ঠায়ে এতিয়াও পানী। কদৰ্যময় বোকা, নলাৰ পানীৰে উপচিছে ৰাজপথ। আৰ্জনাৰে পুতিগন্ধময় পৰিৱেশ।",Kamrup Metro,Assamese,Flood,Guwahati — post-flood waterlogging — roads still submerged — drains overflowing — foul smell — urban flood aftermath,,,,Flood,8
B3a,2 years ago (approx 2024),News18 Assam & NE,অপৰিৱৰ্তিত কাজিৰঙাৰ বান পৰিস্থিতি না জল?,Golaghat,Assamese,Flood,Kaziranga (Golaghat district) — flood situation unchanged — also shows elephant in flooded area — combined flood+elephant signal,,,,Flood,3
B3b,4 years ago (approx 2022),Asomiya Pratidin,"এফালে বান, অন্যফালে বন্যহস্তীৰ তাণ্ডৰ",Assam (General),Assamese,Flood,"On one side flood, on other side wild elephant rampage — combined flood+elephant signal — classic Assam monsoon problem",,,,Flood,3
B4,"2 weeks ago (approx Aug 4, 2026)",News18 Assam & NE,"বৰষুণ দলেও বান নহয় বুলি ভাবাছল চৰাইদেউ আৰু শিৰসাগৰবাসীয়ে? ১৯ জুলাইত কিয় ইমান বৰষুণ হৈছিল মন, মোককচাং আৰু ৰখা জিলাত? কিয় দৈত্যকায় হৈ বৈছিল দিখৌ, জাঁজি, মিটং আৰু দিবকা?",Charaideo,Assamese,Flood,Charaideo and Sivasagar flooding — July 19 extreme rainfall — rivers Dikhow Janji Mitong Diboka overflowing — flood analysis,,,,Flood,4
B5,"3 hours ago (Aug 18, 2026 — TODAY)",News18 Assam & NE,কালস্পৰ্শত ধাৰাবাহিক বৰষুণৰ ফলত সোমবাৰে ভয়ংকৰ ভূমিস্থলন। ভূমিস্থলনৰফলত ভাৰত-ভূটান সীমান্তৰ বিন্দু গাঁৱৰ পথ অৰুদ্ধ হৈ আৱদ্ধ হৈ পৰে ২০-৩০ খন বাহন। আৰক্ষীৰ তৎপৰতাত সুৰক্ষিতভাৱে উদ্ধাৰ। চকুৰ সন্মুখতে হোৱাহোৱে খহি পৰিল পাহাৰ।,Chirang,Assamese,Flood,VERY RECENT — TODAY — Kalaspar — India-Bhutan border — landslide due to continuous rainfall — 20-30 vehicles trapped — rescued by police — hill collapsed live,,,,Flood,1
B6,"August 17, 2025",Pratidin Time,#graphiccontent গোৱালপাৰাৰ ৰংজুলত আঘাতপ্ৰাপ্ত এটা বন্যহস্তীৰ বিচৰণ। হাতীটোৰ বাও ঠেঙত এপাট কঁড়া। দেওশিলা সংৰক্ষিত বনাঞ্চলৈ গতি কৰাৰ সময়তে স্থানীয় ৰাইজে ম'বাইলত বন্দী কৰে আঘাতপ্ৰাপ্ত হাতীটোৰ দৃশ্য।,Goalpara,Assamese,Elephant,Goalpara Rongjuli — injured wild elephant wandering — spear/arrow stuck in left leg — moving to Deoshila reserve forest — STRONG Goalpara elephant signal — very recent Aug 2025,,,,Elephant,3
B7,"2 hours ago (Aug 18, 2026 — TODAY)",DY365,কয়লা আৰু শিল খন্দাৰ বাবে উজনত বান হ'ল বুলি অখিল গৈগয়ে অভিযোগ আনিলে। এই বানপানীৰ সময়ত আমি ৰাজনীতি কিৰিব বিচৰা নাই। ৰাইজৰ পক্ষ লৈ এই বানপানীত কয়লা খন্দাৰ বিষয়টো ডাইভাৰ্ট কিৰিব বিচাৰিছে।,Sonitpur,Assamese,Flood,VERY RECENT — TODAY — Tezpur location — Akhil Gogoi accuses coal mining caused upper Assam floods — political debate about flood cause — LIVE flood signal Sonitpur,,,,Flood,7
B8,"2 days ago (Aug 16, 2026)",News18 Assam & NE,মহানগৰাৰ খাৰঘুলাত ভয়ংকৰ ভূমিস্খলন। খাৰঘুলিৰ ডনবস্কু বিদ্যালয়ৰ সমীপত ভূমিস্থলন। ভূমিস্থলনত খহি পৰিল পাহাৰৰ এটা অংশ। মুষলধাৰ বৰষুণৰ পিছত ভূমিস্থলন। ভূমিস্থলনৰ পিছত শংকিত অঞ্চলটোৰ।,Kamrup Metro,Assamese,Flood,Guwahati Kharghuli — massive landslide near Don Bosco school — hillside collapsed after heavy rain — 2 days ago — RECENT signal,,,,Flood,1
B9,"2 weeks ago (approx Aug 4, 2026)",NR Khabar,গোৱালপাৰা জিলাৰ ৰংজুল বনাঞ্চলক বিষয়াৰ কাৰ্যালয়ৰ অন্তৰ্গত ৰংৰংপাৰাত বনৰীয়া হাতীৰ উপদ্ৰৱ। প্ৰায় দহবিঘা কৃষিভূমিত কঠীয়া গচকি লণ্ডভণ্ড।,Goalpara,Assamese,Elephant,Goalpara district Rongjul forest area — Rongrongpara — wild elephant menace — 10 bigha of agricultural seedling beds destroyed — elephant + agriculture combined signal for Goalpara,,,,Elephant,6
B10,"November 6, 2022",News18 Assam & NE,ৰংজুলিত হাতী-মানুহৰ সংঘাতে লৈছে ভয়ংকৰ ৰূপ। সমুখ-সমৰত হস্তী-মানৰ। এফালে যদি মানুহে খেদিছে হাতীক আনফালে হাতীও চোঁচা লৈছে মানুহৰ ফালে।,Goalpara,Assamese,Elephant,"Rongjuli Goalpara — human-elephant conflict taking dangerous form — face-to-face standoff — humans chasing elephant, elephant charging back — STRONG conflict signal",,,,Elephant,6
B11,July 6 (2026),News18 Assam & NE,উৎকট গৰম! লিখিমপুৰত কৃত্ৰিম বৰষুণৰ ব্যৱস্থা। ৰাটাৰ স্প্ৰিংকলাৰৰ মেচিনৰ সহায়ত নগৰৰ ৰাজপথত কৃত্ৰিম বৰষুণ। #lakhimpurartificialrain #heatwave #news18originals,Lakhimpur,Assamese,Weather,Lakhimpur — extreme heatwave — artificial rain using sprinkler machines on city roads — unusual climate event for Assam,,,,Weather,5
B12,"3 days ago (Aug 15, 2026)",LIVE ASSAM,উৎকট গৰম। নগাঁও জিলাত সলিন হ'ল বিদ্যালয়ত পাঠদানৰ সময়।,Nagaon,Assamese,Weather,BREAKING NEWS — Nagaon district — extreme heat forces change in school teaching timings — heat impact on education — weather signal 3 days ago,,,,General,0
B14,July 13 (2026),DY365 Digital,পুনৰ জলময় ৰাষ্টায় ঘাইপথ। ৰাষ্টায় ঘাইপথৰ বেহাৰবাৰি অঞ্চল এতিয়া পানীৰ তলত। পূৰ্বতকৈ বহু নতুন-নতুন স্থানত সৃষ্টি হৈছে কৃত্ৰিম বানপানী। কৃত্ৰিম বানত আৱদ্ধ বহু বাহন হৈ পৰিছে বিকল। #flood #flashflood #Beltola #highways #guwahati #DY365,Kamrup Metro,Assamese,Flood,Guwahati Beltola area — major national highway waterlogged again — many new spots with flash flooding — vehicles stranded and damaged — urban flood signal,,,,Flood,10
,2025-2026,,বানপানী শুকালে যদি ও নেপালী খুঁটিৰ বৰ্তমানৰ অৱস্থা চাওক,Assam (General),Assamese,Flood,,Facebook,Manisha Borah Das,Moderate,Flood,7
